"Mois";"Produit";"y2013";"y2014";"growth";"level"
8;"Tabac";140,16;145,11;3,53167808219179;2
8;"Articles.chaussants";106,23;108,06;1,72267720982773;2
8;"Loyers.d.habitation.réels";121,38;122,56;0,972153567309286;2
8;"Adduction.d.eau.et.autres.services.relatifs.au.logement";130,27;133,79;2,70208029477239;2
8;"Services.de.transport";120,57;123,42;2,36377208260763;2
8;"Services.postaux";120,51;125,51;4,14903327524687;2
8;"Équipements.audiovisuels..photographiques.et.informatiques";44,09;40,99;-7,03107280562486;2
8;"Protection.sociale";127,63;130,11;1,94311682206378;2
8;"Assurances";119,29;121,99;2,26339173442869;2
8;"Services.financiers.n.d.a.";111,56;114,04;2,22301900322697;2
8;"Pain.et.céréales";113,51;112,5;-0,889789445863809;3
8;"Viande";121,27;121,76;0,40405706275255;3
8;"Poisson";114,81;115,74;0,810033969166435;3
8;"Lait..fromage.et.oeufs";110,18;110,93;0,680704302051183;3
8;"Fruits";124,77;109,83;-11,9740322192835;3
8;"Légumes";117,01;109,2;-6,6746431928895;3
8;"Sucre..confitures..miel..chocolat.et.confiserie";108,12;105,7;-2,23825379208287;3
8;"Café..thé.et.cacao";120,98;117,6;-2,7938502231774;3
8;"Eaux.minérales..boissons.gazeuses.et.jus.de.fruits.et.de.légumes";116,61;114,22;-2,04956693251007;3
8;"Vins";118,8;121,27;2,07912457912458;3
8;"Bière";125,87;124,43;-1,14403749900691;3
8;"Vêtements";100,87;102,7;1,81421631803311;3
8;"Services.pour.la.réparation.et.l.entretien.du.logement";128,04;133,06;3,92064979693847;3
8;"Électricité";129,34;132,9;2,7524354414721;3
8;"Gaz";163,63;159,74;-2,3773146733484;3
8;"Gros.appareils.ménagers.électriques.ou.non.et.petits.appareils.électroménagers";83,34;81,96;-1,65586753059757;3
8;"Réparation.d.appareils.ménagers";123,48;127,46;3,22319403952056;3
8;"Voitures.particulière";109,15;110,31;1,06275767292716;3
8;"Carburants.et.lubrifiants.pour.les.véhicules.personnels";132,73;128,54;-3,1567844496346;3
8;"Entretien.et.réparations.des.véhicules.personnels";133,57;136,84;2,44815452571685;3
8;"Équipements.de.téléphonie.et.télécopie";30,5;26,22;-14,0327868852459;3
8;"Services.de.téléphonie.et.de.télécopie";73,16;74,17;1,38053581191908;3
8;"Appareils.de.réception..enregistrement.et.de.reproduction.du.son.et.de.l.image";33,7;30,02;-10,919881305638;3
8;"Équipement.photographique.et.cinématographique..instruments.d.optique";24,03;20,83;-13,3166874739909;3
8;"Équipement.informatique";41,55;38,78;-6,66666666666665;3
8;"Journaux.et.périodiques";118,58;123,75;4,35992578849722;3
8;"Restaurants..cafés.et.similaires";116,67;120,09;2,93134481871946;3
